pathNames,totalpDis,totalpDisNorm,ppDis,ppDis.fdr
Sulfur relay system,4.3200933576733345,-0.36304295610052567,0.7107763074564181,0.8138941137195254
Autophagy - other,7.319819300356168,-2.4334019107857237,0.02043265224492517,0.08287223759208028
Circadian rhythm,11.241768461729665,-1.4653591367355439,0.126729109029699,0.26246285617639903
SNARE interactions in vesicular transport,11.529544277139413,-1.6032924492624858,0.09899670010999634,0.24042055740999108
Apoptosis - multiple species,12.370094195901654,-1.4609497179287536,0.12826239125362487,0.26246285617639903
Homologous recombination,13.341467416272538,-1.9790984093672688,0.04553181560614646,0.13240172695997854
Antifolate resistance,13.774133534976668,-0.8100125846071359,0.4046198460051332,0.5806557530333405
Asthma,13.878810119062788,2.160063331484664,0.032998900036665446,0.10884711803138901
Fanconi anemia pathway,14.956955364945461,-2.5895079768429374,0.012232925569147695,0.05255658144728509
Thyroid cancer,14.957915117896905,-1.3610501387525549,0.1605613146228459,0.3058969873418012
Phototransduction,15.122944512776682,-0.5700199149800941,0.5675810806306456,0.7152543778843735
Ribosome biogenesis in eukaryotes,17.05768082409425,-4.039733899547305,3.3332222259258026e-4,0.004604013199560015
Hippo signaling pathway - multiple species,17.10393876119259,0.004835433602614811,0.9961334622179261,0.9961334622179261
Renin-angiotensin system,17.58588533941175,1.6737596143711708,0.08436385453818206,0.21430358451653145
Vasopressin-regulated water reabsorption,18.76268387622633,-1.2600043603917306,0.1955934802173261,0.3493451551614946
Ferroptosis,19.306178557397942,-0.6234426002770377,0.5261824605846471,0.6877204093196894
Allograft rejection,19.745592602254273,3.4626731492786016,0.004933168894370188,0.028332388920369322
Vibrio cholerae infection,19.950180356797325,-1.4541270910891915,0.1374620845971801,0.27617382450888
Mitophagy - animal,20.77717902349823,-2.9353509220633844,0.005799806673110896,0.031262372555061174
Autoimmune thyroid disease,21.09627480101395,1.038316326852945,0.2881570614312856,0.4648373034767454
Cytosolic DNA-sensing pathway,21.544415257398526,-2.171851084041125,0.030565647811739607,0.10554700259991333
Graft-versus-host disease,21.601884417723944,3.5830484764765687,0.003099896670110996,0.021206363828276432
Bladder cancer,22.363137557053705,-0.25559818701365405,0.7949068364387853,0.8783720542648578
Notch signaling pathway,23.65727637261934,-1.2636369400730467,0.19466017799406687,0.3493451551614946
mRNA surveillance pathway,24.00452112804316,-4.022727260100807,2.666577780740642e-4,0.004533182227259092
Viral myocarditis,24.11650143132469,0.44137652901697577,0.6585780473984201,0.774179513165164
Maturity onset diabetes of the young,24.238440946969007,2.5526342825701556,0.017099430018999367,0.07130139687167661
RNA degradation,24.505052760393642,-2.78620591601839,0.007833072230925636,0.03846908806743479
Endometrial cancer,24.736549548814516,-1.5723635974641534,0.10729642345255158,0.2470053081563948
RIG-I-like receptor signaling pathway,25.34770910758778,-2.333368742293042,0.020999300023332557,0.08287223759208028
Prion diseases,25.61166107700825,0.7082709376583419,0.47471750941635277,0.6609442261945051
Hedgehog signaling pathway,27.866688080958067,-0.18120147130147188,0.8587047098430053,0.9186422952568247
Type I diabetes mellitus,28.032173362108395,4.84905314965423,2.999900003333222e-4,0.004604013199560015
Intestinal immune network for IgA production,28.06158025645467,2.3364514328514696,0.021532615579480684,0.08348610601868826
Type II diabetes mellitus,28.812142091217343,0.47932441390205777,0.6271457618079397,0.7573727505986594
Renal cell carcinoma,28.920819237924462,-1.6667739560974644,0.08946368454384854,0.2246758441385287
Aldosterone-regulated sodium reabsorption,29.27328675112294,1.8966582031606039,0.05343155228159061,0.15087176419013879
Bacterial invasion of epithelial cells,29.302470043617422,-1.5425749390891699,0.11679610679644012,0.25556375843577495
Longevity regulating pathway - multiple species,30.377524048956765,-1.0187257353633752,0.3006566447785074,0.47860690357940444
Chronic myeloid leukemia,30.465109591028487,-2.080211149804022,0.03763207893070231,0.11550957560673905
VEGF signaling pathway,31.17881451747214,-0.6969253779272067,0.48035065497816737,0.6609442261945051
Long-term potentiation,31.812056120050297,-1.3369441563998261,0.17449418352721577,0.3268069030467346
Melanoma,32.197789803007176,-1.5636693835276991,0.11002966567781074,0.24812812362036912
Carbohydrate digestion and absorption,32.766592990570366,1.7267585208066163,0.07636412119596013,0.20333097330490588
Epithelial cell signaling in Helicobacter pylori infection,33.406302792525466,-1.0628633824662832,0.28279057364754506,0.45953468217726073
Pancreatic cancer,33.434709583297604,-1.720868674340925,0.08063064564514516,0.20963967867737743
Systemic lupus erythematosus,33.54441998118607,2.653779606541582,0.010699643345221825,0.04991126146135265
Non-small cell lung cancer,33.87656649532892,-0.9346741755260323,0.34912169594346854,0.5433513718556798
Peroxisome,34.32411377852717,-1.5249317991603297,0.12412919569347688,0.26126240236436565
Endocrine and other factor-regulated calcium reabsorption,34.6239695197147,0.5868154751769442,0.551348288390387,0.7043235360362747
Adipocytokine signaling pathway,34.675883140280014,-0.8837251410492629,0.3701209959668011,0.5612416523052834
Prolactin signaling pathway,35.161872671903275,-1.2659243946331282,0.19759341355288157,0.3493451551614946
Acute myeloid leukemia,35.51235783000035,-0.4506115125693386,0.6495783473884204,0.7718108321120478
RNA transport,36.103967682612605,-5.911114826987425,3.333222225925803e-5,8.184912354773361e-4
Central carbon metabolism in cancer,36.31898340426178,-0.726791956112739,0.4596513449551682,0.6470251416247909
Basal cell carcinoma,36.35925328848172,-0.05242207818375794,0.9575680810639645,0.9752191055997057
Progesterone-mediated oocyte maturation,37.76720043128507,-2.1970783258786604,0.027765741141961935,0.1005939146290752
Ovarian steroidogenesis,38.055287032881665,2.033318547839233,0.03959868004399853,0.11988093547566679
Long-term depression,38.24491094851645,0.4405838655771258,0.657011432952235,0.774179513165164
Antigen processing and presentation,38.89784604365215,2.2284842956659086,0.025699143361887937,0.09465851138295389
Platinum drug resistance,38.933121250110965,-0.6854349659923915,0.4874837505416486,0.6609442261945051
Mineral absorption,39.489120186559795,1.9032170465499263,0.05393153561547948,0.15087176419013879
Regulation of lipolysis in adipocytes,39.83311746377575,0.9410951798861643,0.3410552981567281,0.5345618503023893
Longevity regulating pathway,39.839447964850386,-1.6117641506346922,0.10312989567014433,0.2470053081563948
GnRH secretion,39.85269110187102,1.297134482814194,0.19112696243458552,0.3493451551614946
Adherens junction,40.18410072025901,-0.36274704005583186,0.7150761641278625,0.8145970735683381
